image 0	Original (165, 35, 13)	Detected (165, 35, 14)
image 1	Original (199, 190, 49)	Detected (197, 188, 48)
image 2	Original (132, 12, 17)	Detected (132, 12, 16)
image 3	Original (95, 154, 25)	Detected (95, 154, 26)
image 4	Original (117, 71, 12)	Detected (117, 71, 13)
image 5	Original (101, 99, 28)	Detected (101, 99, 29)
image 6	Original (9, 27, 34)	Detected (9, 27, 35)
image 7	Original (129, 169, 33)	Detected (129, 169, 32)
image 8	Original (95, 189, 36)	Detected (95, 189, 35)
image 9	Original (30, 106, 44)	Detected (30, 106, 43)
image 10	Original (36, 193, 41)	Detected (36, 193, 40)
image 11	Original (46, 166, 21)	Detected (46, 166, 22)
image 12	Original (19, 49, 24)	Detected (19, 49, 25)
image 13	Original (56, 28, 30)	Detected (56, 28, 31)
image 14	Original (61, 58, 41)	Detected (61, 58, 42)
image 15	Original (112, 67, 22)	Detected (112, 67, 23)
image 16	Original (74, 11, 24)	Detected (74, 11, 25)
image 17	Original (56, 99, 11)	Detected (56, 98, 12)
image 18	Original (76, 5, 42)	Detected (76, 5, 43)
image 19	Original (133, 115, 43)	Detected (133, 115, 44)
image 20	Original (2, 199, 25)	Detected (16, 189, 10)
image 21	Original (15, 123, 23)	Detected (15, 123, 24)
image 22	Original (45, 100, 21)	Detected (45, 100, 20)
image 23	Original (108, 81, 40)	Detected (108, 81, 41)
image 24	Original (170, 49, 36)	Detected (170, 49, 35)
image 25	Original (64, 75, 21)	Detected (64, 75, 22)
image 26	Original (158, 113, 13)	Detected (158, 113, 14)
image 27	Original (58, 169, 28)	Detected (58, 169, 29)
image 28	Original (9, 51, 46)	Detected (9, 51, 45)
image 29	Original (100, 195, 36)	Detected (100, 195, 37)
image 30	Original (88, 103, 42)	Detected (88, 103, 43)
image 31	Original (118, 65, 40)	Detected (118, 65, 41)
image 32	Original (182, 4, 16)	Detected (182, 3, 15)
image 33	Original (63, 44, 19)	Detected (63, 44, 20)
image 34	Original (131, 80, 47)	Detected (131, 80, 46)
image 35	Original (156, 185, 34)	Detected (156, 185, 33)
image 36	Original (185, 77, 38)	Detected (185, 77, 39)
image 37	Original (126, 113, 20)	Detected (126, 113, 21)
image 38	Original (180, 91, 20)	Detected (180, 91, 21)
image 39	Original (67, 69, 30)	Detected (67, 69, 31)
image 40	Original (107, 88, 18)	Detected (107, 88, 19)
image 41	Original (94, 195, 40)	Detected (94, 195, 39)
image 42	Original (71, 49, 49)	Detected (71, 49, 48)
image 43	Original (154, 77, 45)	Detected (153, 78, 45)
image 44	Original (159, 58, 25)	Detected (159, 58, 26)
image 45	Original (21, 181, 41)	Detected (21, 181, 40)
image 46	Original (145, 158, 10)	Detected (145, 158, 11)
image 47	Original (131, 149, 32)	Detected (131, 149, 33)
image 48	Original (47, 3, 36)	Detected (47, 3, 37)
image 49	Original (43, 56, 49)	Detected (43, 56, 48)
image 50	Original (146, 199, 26)	Detected (146, 199, 25)
image 51	Original (148, 136, 46)	Detected (148, 136, 47)
image 52	Original (171, 187, 18)	Detected (171, 187, 19)
image 53	Original (56, 12, 41)	Detected (56, 11, 43)
image 54	Original (75, 105, 22)	Detected (75, 105, 23)
image 55	Original (58, 159, 35)	Detected (58, 159, 34)
image 56	Original (117, 177, 25)	Detected (117, 177, 26)
image 57	Original (170, 13, 45)	Detected (170, 13, 46)
image 58	Original (156, 190, 17)	Detected (156, 190, 16)
image 59	Original (39, 196, 30)	Detected (39, 196, 29)
image 60	Original (119, 152, 34)	Detected (119, 152, 33)
image 61	Original (0, 78, 22)	Detected (0, 78, 23)
image 62	Original (162, 135, 34)	Detected (162, 135, 33)
image 63	Original (155, 80, 12)	Detected (155, 80, 13)
image 64	Original (85, 53, 14)	Detected (85, 53, 13)
image 65	Original (110, 29, 34)	Detected (110, 29, 35)
image 66	Original (82, 194, 39)	Detected (82, 194, 38)
image 67	Original (95, 12, 47)	Detected (95, 12, 48)
image 68	Original (146, 31, 10)	Detected (146, 31, 11)
image 69	Original (148, 104, 44)	Detected (148, 104, 45)
image 70	Original (109, 151, 30)	Detected (109, 151, 29)
image 71	Original (114, 31, 25)	Detected (114, 31, 26)
image 72	Original (44, 179, 11)	Detected (44, 179, 12)
image 73	Original (12, 166, 47)	Detected (12, 166, 46)
image 74	Original (64, 99, 34)	Detected (64, 99, 35)
image 75	Original (105, 139, 25)	Detected (105, 139, 26)
image 76	Original (39, 40, 18)	Detected (39, 40, 19)
image 77	Original (192, 72, 26)	Detected (191, 72, 26)
image 78	Original (176, 33, 26)	Detected (176, 33, 27)
image 79	Original (88, 185, 41)	Detected (88, 184, 42)
image 80	Original (177, 165, 30)	Detected (177, 165, 31)
image 81	Original (135, 34, 21)	Detected (135, 34, 22)
image 82	Original (83, 54, 30)	Detected (83, 54, 29)
image 83	Original (48, 118, 35)	Detected (48, 118, 36)
image 84	Original (62, 79, 37)	Detected (62, 79, 36)
image 85	Original (20, 20, 49)	Detected (19, 19, 49)
image 86	Original (137, 11, 10)	Detected (137, 11, 11)
image 87	Original (133, 95, 34)	Detected (133, 95, 35)
image 88	Original (154, 116, 15)	Detected (154, 116, 16)
image 89	Original (153, 133, 24)	Detected (153, 133, 25)
image 90	Original (99, 58, 42)	Detected (99, 58, 43)
image 91	Original (114, 75, 16)	Detected (114, 75, 17)
image 92	Original (52, 49, 34)	Detected (52, 49, 35)
image 93	Original (41, 33, 23)	Detected (41, 33, 22)
image 94	Original (75, 137, 21)	Detected (75, 137, 22)
image 95	Original (155, 69, 19)	Detected (155, 69, 18)
image 96	Original (81, 17, 18)	Detected (81, 17, 19)
image 97	Original (41, 196, 30)	Detected (41, 196, 29)
image 98	Original (172, 171, 47)	Detected (173, 171, 49)
image 99	Original (19, 199, 26)	Detected (19, 199, 25)
image 100	Original (72, 63, 47)	Detected (72, 63, 48)
image 101	Original (30, 104, 17)	Detected (30, 104, 18)
image 102	Original (125, 43, 35)	Detected (125, 43, 36)
image 103	Original (14, 158, 45)	Detected (14, 158, 44)
image 104	Original (22, 7, 45)	Detected (23, 8, 45)
image 105	Original (79, 162, 28)	Detected (79, 160, 28)
image 106	Original (98, 197, 49)	Detected (98, 196, 47)
image 107	Original (53, 197, 27)	Detected (53, 196, 25)
image 108	Original (35, 38, 30)	Detected (35, 38, 31)
image 109	Original (191, 60, 21)	Detected (191, 60, 22)
image 110	Original (164, 143, 10)	Detected (164, 143, 11)
